ace|n. [C]（在网球运动中，对手接不到发球的）发球得分，即爱司球
hunting|n. 1 [U]（作为一项体育运动或为获取食物而进行的）狩猎、打猎；野兽的猎食
hurdle|n. [C]（供人或马在赛跑中跨越的）一个跨栏
hurdle|n. [pl.] hurdles可指（人或马的）跨栏赛
hurdle|vi. 参加跨栏赛
international|n. [C] [英] 国际体育比赛
international|n. [C] [英] 国际体育比赛选手
iron|n. [C] 高尔夫球棒中的铁头球棒。有角度的杆头用于中等距离击球。杆号越小，球击得越远。球手一般自备很多这种杆
jersey|n. [C] 参加体育比赛者穿的一种衬衫
jockey|n. [C]（尤指职业的）赛马骑师
jog|vi. 慢跑（尤指为锻炼身体）
judo|n. [U] 柔道
jump|n. [C]（在速度比赛等比赛中，马或赛跑者需要跳过的）障碍物（类似于窄栅栏）
jumper|n. 1 [C] 跳跃（包括跳远和跳高）运动员
junior|adj. 只用于名词前，（尤指体育运动）与青少年相关的（而非与成年人相关的）
karate|n. [U] 空手道
keep|vt. [英] keep a goal/wicket（在足球、曲棍球、板球等体育运动中）把守球门，即守门
kick|vt.（在足球和橄榄球等体育运动中）通过踢球来得分，也叫射门
ladder|n. [C]（也可用ladder tournament）（体育运动或游戏中的）升级比赛（将参赛者排名，胜者名次前提）
lane|n. [C] 比赛中一个人的赛道；游泳池中一个人的泳道
lap|n. [C]（跑道等的）一圈
lap|vt.（在速度比赛中）比…领先一圈或数圈
leader|n. [C] 在一场比赛中，处于领先地位（或最佳）的一个人或事物
league|n. [C] 经常在一起比赛（以赢得积分或选出最佳队伍）的一组体育运动队，即联合会，联赛
left|n. [C] 拳击中可指左手拳
leg|n. 1 [C] leg (of sth) 一段速度比赛的赛程，相当于section或stage
length|n. [C] 游泳池的长度（一端至另一端的距离）
length|n. [C]（划船等速度比赛中）船的自身长度
length|n. [C]（赛马等速度比赛中）马的自身长度
let|n. [C] 网球运动中的擦网球（即虽然落入界内但擦到球网顶部的球）
letter|n. [C] [美]（缝在运动服上以表明某人是某个学校运动队一员的）字母
lie|vt.＆vi. [英]（在比赛期间）处于某一位次，即名列，排名
lock|n. [C] 橄榄球运动中可指（并列争球的）一名第二排前锋队员
