above|adv. 上文或前文
outline|n. [C] 概述；梗概。本质上具有一种框架性。这种框架性通常有两种表现形式，第一，用编号一一简要列出所陈述的内容（这些内容进行详细论述和充实后，就成了一个完整的论述）。此时也可叫“提纲”；第二，通过一段较长的文字来“概述”原本很长的内容，但依然保持原内容的脉络、层次、思想
outline|vt. 常用被动式，勾勒…的外形
overview|n. [C]（对某事或某种形势等的）概览；概述
packet|n. [C] [美]（为某一用途）作为一个整体来提供的一套文件
page|n. [C] 图书、杂志等中的一张纸的一面或两面，即页，面，张，版。是“页码”的常规用词
paint|vt.＆vi. paint (in sth) / paint sth (on sth) 用颜料来写
paper|n. 1 [pl.] papers 可指带有文字的纸张，即文件，资料（如信件、工作文件、私人文件等，人们可能将其保存在家中安全的地方）
paperwork|n. [U] 为某事所需的全部文件，例如诉讼案件或购置房产等所需的全部文件
paradigm|n. [C] 语法中可指词形变化表
paragraph|n. [C] 文字的段落（一个新的段落要重起一行）
parenthesis|n. [C] 插入语
parenthesis|n. [usually pl.] [正式] 圆括号。相当于bracket
parole|n. [U] [语言学]（单个人所说的，而非作为作为某个群体的交流体系的）言语
particle|n. [C] [语法] 小品词（与动词构成短语动词的副词或介词）
particular|n. [pl.] [正式] particulars 可指（关于财产、业务、工作岗位等的）详细书面材料
passage|n. [C] 图书的一小部分，可叫做章节；段落。相当于excerpt或extract。虽然汉语中有时翻译为“段落”，但并非常规意义上的另起一行的段落，而更接近于“篇章”
passive|adj. 被动语态的
past|adj. 只作前置定语，（动词）过去式的
patient|n. [C] 动作的受动者
pen|vt. [正式] 写，书写，撰写。不常用
pencil|vt. 用铅笔写、画。不常用
perfect|adj. 与动词完成时有关的
period|n. [C] [美] 标点符号中的句号或句点，相当于full stop
person|n. [C] 三个人称之一
phone|adj., adv., n. [C] –phone构成形容词和副词，指讲某种语言的；还可指讲某种语言的人（作为此义时远不如speaker常用）
phone|n. [C] 语音学中可指讲话时发出的一个声音，（尤指不作为某种语言的声音体系的一部分）即音子，音素
photocopy|n. [C]（也可用copy（文件等的）影印本、复印件
phrase|n. [C] 从各个单词的意思很难看出整句意思的一句话，即成语；习语；惯用法；警句等。此时与idiom几无差别。不过phrase的总体含义要比idiom广泛
phrase|n. [C] 短语，词组
plate|n. [C] 书中的插图照片，尤指优质纸张上的整页插图
plot|vt. 1 plot sth (on sth) 利用一些信息来绘制图表
pocketbook|n. [C] 一种小的扁平的袋子，常用皮革或塑料制成，用于携带文件
point|n. [C] 书写时所用的点（相当于dot，此时可以叫做“标点”）。尤指数学中的“小数点”，用于将整数和分数分开
point|n. [U] 印刷物字体大小的单位，即点，磅值
portfolio|n. [C] 扁平的公事包（用于携带文件、图画等）
possessive|adj. [语法] 表示所属关系的；所有格的
preamble|n. [C, U] [正式]（书籍或文件的）序言、绪论、导言；开场白
preface|n. [C] 书的前言、序言
present|n. [sing.] the present 现在时，相当于present tense
print|n. [U] 在纸上印出来的字母、文字或数字等，即印刷字体。偶尔也可指在屏幕上显示的字体（不过此时不如type常用）
print|vt.＆vi. 用印刷体写（字母之间笔画不相连接）
profile|n. [C] 对某人或某事物的概述、简介（能提供有用的信息）
progressive|adj.（也可用continuous）在语法中可指（动词）进行时的
prologue|n. [C]（书籍的）序言
pronoun|n. [C]（语法）代词
pronounce|vt. 发一个字词或字母的音，即发音。是此义的常规用词
pronunciation|n. 1 [U, C] 发音、读音
proverb|n. [C] 谚语、常言
punctuation|n. 1 [U] 标点符号。是此义的常规用词
put|vt. 在…上书写。是一个简单用词，比较常用
qualify|vt. [语法]（单词）修饰、限定
quotation|n. 1 [C]（也可用quote）从书籍、戏剧、讲话等文字作品中摘出的一段文字，即引语；引文；语录
quote|n. [pl.] quotes可指引号，相当于quotation marks
quote|vt.&vi. ~ (sth) (from sb/sth) / ~ (sb) (as doing sth) 对别人话语或文字的精确引用
reference|n. [C] 参考书
register|n. [C, U]（书面语或口语中）适合特定场合使用的语体风格，即语域
regular|adj.（尤指动词或名词）按大多数形式的规则变化的，即规则的
related|adj. ~ (to sth/sb)（语言）同源的
relative|adj. [正式] 指代前面的一个名词、句子或句子的一部分的
repeat|vt. 重写
report|n. [C] report (on sth)（由研究了某一情况或问题的一群人所写出的一份）正式的文件，如调查报告
rewrite|vt.（通常为作出改进或添加新信息而）重写
rhetoric|n. [U] [正式] 修辞；修辞技巧；修辞学
ring|vt. [尤英] 绕着某事物画一个圆圈，相当于circle
roll|n. [C] 颤音，相当于trill
root|n. [C] 单词的词根
rounded|adj. [常用于名词前] [语音学]（语音）用圆唇发出的
rule|vt. 用有硬直边缘的东西（如直尺）画直线
saying|n. [C] 一则著名的话语，该话语为人们的某种生活经验的总结，表达了大多数人所信奉的生活智慧。可称为谚语，格言或警句。不过鉴于其带有明显的民间色彩，所以翻译为“谚语”、“俗语”一般是不会有错的。另外，其也可指一个人（尤指宗教或政治领袖）的重要讲话，或其给出的建议，可称为“教诲”
scribble|n. [U, sing.] 潦草的文字。相当于scrawl
scribble|vt.&vi. ~ (sth) / ~ sth down（尤指因时间仓促而）匆匆写下、草草写下。相当于scrawl
script|n. [C]（剧、电影、广播、讲话等的）剧本、讲稿
script|n. [U, C] 一种语言的字母系统、字母表。相当于alphabet
script|n. [U] 手写的字
script|vt. [常用被动式] 为电影、戏剧等写剧本；为广播、电视节目等撰稿
section|n. [C] 文件、书籍等的一部分，可叫做节；段等。其含义极广，既可指书籍的一部分，也可指文件等的一部分。因此汉语中没有固定的翻译方法。只能视其在某个文字材料（如书籍、文件等）中的具体形式，来翻译成具体的汉语表达法。可供参考的汉语用词为“节”、“款”、“项”、“段”等
segment|n. [C] [语音学] 一个词可以划分出的最小语音部分，即音段
semicolon|n. [C] 分号
sentence|n. [C] 句子
short|adj. short for sth（名称或单词）简略的；缩写的
short|adj.（元音）短音的
short|adj.（演讲、书信、图书等）简短的
side|n. [C] 一面纸的文字量
sign|vt.＆vi. 在文件、书信等材料上签名、签字、署名（以表明以上内容由本人书写，或者表明本人同意上述内容，或者表明上述内容是真实的）
signatory|n. [C] [正式] ~ (to/of sth) 签署正式协议的一个人、国家或组织机构
signature|n. 1 [C] 所签（或所署）的名字（如在信件末尾所署的名字）。是此义的常规用词
silent|adj.（单词中的字母）书写出来但不发音的
simple|adj.（无需助动词构成的动词时态）一般的，简单的（如在一般现在时或一般过去时中）
skeleton|n. [usually sing.]（计划、文章等的）梗概、提纲、轮廓
slip|n. [C] 一个小片纸，尤指用于写字或印有内容的小纸条
small|adj. 常作前置定语，指（书写或打印、印刷出来的字母）小写的
snippet|n. [C] 一小段交谈。相当于snatch或extract
soft|adj.（辅音）发软音的（如city中的c字母和general中的g字母的发音）
sound|n. [C] 语音学中可指语音
sound|vt. [术语] 发音
space|n. [U, C] 在书写和印刷中可指（一行、一页或一份文件的）空白处（如空行；空白；空格），即版面
speak|n. [sing.] [非正式，常含贬义] 构成名词，指（某一团体、组织或学科的）语言或行话
speak|vt. 1 会说或会讲（某种语言）
speaker|n. [C] 讲某种语言的人。是此义的常规用词，最为常用
speech|n. [U] 口语（即口头表达所使用的语言）
speech|n. [U] 说话的能力，一般意义上的讲话
spell|vt. 1 在口语或书写中以正确的字母顺序拼出字词，即拼读或拼写
spelling|n. 1 [U] 拼写（或拼读）；拼写能力（或拼读能力）
spoken|vt.＆vi. speak的过去分词，即说话，讲话等
spread|n. [C] 书籍、报刊或杂志上（在一张纸上的）相反的两页
standard|adj. 常用于名词前，语言中可指（拼写、发音、语法等）被认为是正确的并被大多数人所采用的，即标准的、规范的
stem|n. [C] [语法] 词干
stop|n. [C] [英] 句号，与full stop同义
stop|n. [C] 塞音，即将气流憋在嘴中，然后突然将其释放出，由此而发出的音
stress|n. [U, C] 重读或重音（即在单词或音节的发音过程中所施加的额外的力）。是此义的常规用词，最为常用
stressed|adj.（音节）重读的
stroke|n. [C] 笔、刷子等在一个表面上写出（或刷出等）的一个标记，如一笔、一画、笔画
strong|adj. 常作前置定语，动词强变化的（即通过改变元音而不是加规则的词尾来构成动词的过去式和过去分词的，如drink、drank、drunk）
strong|adj. 常作前置定语，强读式的
strong|adj. 指口音强烈的，易于被感知的。较为常用
structure|n. [U, C] 语言学中的结构
style|n. [U, C] 语言的正确使用，即好文风，规范的语言
subject|n. [C] 主语
subjective|adj. 只用于名词前，主语的，主格的
subscribe|vt.＆vi. 签署，题词
sum|vt.&vi. sum up / sum sth up 总结、概括（要点），相当于summarize
summarize|vt.&vi. 总结、概括、概述
summary|n. [C] 对…的要点（而非细节）所做的简短阐述，即总结，概括，概要。在方式上强调简洁，在内容上强调结论，常是一种简洁的结论。表“摘要”时，也是一种总结性摘要，既可放在一篇论文的开头（即标题之下，正文之前），也可放在正文之后。词义范围较广，可以说本组其它表示“摘要”的词，都是一种summary
supplement|n. [C] ~ (to sth) 书籍的补编、补遗、附录
supplement|n. [C] ~ (to sth) 补充性的文件
survey|n. [sing.] 对某事物所做的总体研究、全面概述
syllable|n. [C] 音节
tag|n. [C] [语言学] 附加语（为加强语气，如Yes, I do一句中的I do）
tag|n. [C]（引用自书籍、讲演、文章的）语录，引语，格言，谚语
take|vt.（动词、名词等用于句子或其他结构中时）有或需要…
talk|vt.＆vi.（用某种语言）讲，说；或带某种口音
tap|n. [C] 轻拍音（用舌头快速且轻轻地触击上前牙的后部所发出的音，如[t]）
tap|vt. 语音学中可指发轻拍音
tense|adj. 语音紧张的，即由处于紧张状态的发音器官肌肉来发出的，反义词为lax
