abdicate|vt.&vi.（国王或女王）退位
overturn|vt. 颠覆政府
ownership|n. [U] 拥有某事物的事实，具体可称为所有制，所有权，产权，物主身份
pacify|vt. 给战乱地区带来和平，即平定、平息、镇压
page|n. [C] [美]（在美国国会或州立法机关为官员们做一些零碎工作的）青年助理（本身为学生）
palace|n. [sing.]（常用the Palace）住在王宫里的人（尤指英国的王室家族成员）
pandemonium|n. [U]（尤指人们强烈的愤怒或恐惧所引起的）骚动、群情激奋
parade|vi. 一群人游行（以对某事表示抗议）
parliament|n. 1 [C] 议会
partner|n. [C] 与另一国达成协议的一个国家或组织，即伙伴国或伙伴组织
party|n. [C]（也可用Party）政党，党派
pass|vt. 通过表决来通过一项动议或一部法律等
passage|n. [sing.] 议会讨论议案以使其变成法律的过程，即通过
passing|n. [U] the ~ of sth（法律等的）通过
passport|n. [C] 护照
pastoral|adj.（尤指以一种浪漫的方式）展现乡村或乡村生活的，即田园的
patch|n. [C] [英，非正式] 某人的家乡
peer|n. [C] 英国的贵族成员
pentagon|n. [sing.] the Pentagon 指五角大楼，即美国国防部
people|n. 1 [C] 居住在某地（或属于某个国家、种族等）的所有人
picket|vt.&vi. 站在某处（如工作地点）对某事表示抗议
pink|adj. [非正式，贬] 政治上可指拥有或表现出轻微的左派政治观点的
platform|n. [usually sing.] 一个政党在参加竞选时所宣称的施政纲领，即其当选后要达成的目标。是一种潜在的、计划中的、尚未执行的policy
plenipotentiary|adj.（权力）全权的
plenipotentiary|n. [C] [术语]（尤指在国外代表政府的）全权代表、全权大使
policy|n. [C, U] policy (on sth) 某一政党、官方机构的政策、措施
political|adj. 1 与国家、政府或公共事务有关的
politician|n. 1 [C] 职业从政者，尤指政府成员。一般可指各层次的从政者，与statesman有一定交集，但statesman的褒义色彩比较浓厚，而politician此时为中性色彩
politics|n. 1 [U] 政治活动，政治
poll|n. 1 [C]（也可用复数形式的polls）选举中的投票过程、计票过程、投票地点；也可指政治选举
popular|adj. 只作前置定语，指与一国的普通民众相关的（尤指政治活动），即民众的，百姓的
population|n. 1 [C, U] 居住在一个地区、城市或国家的所有人；（居住在上述地区的）人口的数量。是一个整体性的数字概念，本身并不附加任何特征
portfolio|n. [C] [正式，尤英]（部长或大臣的）职责，职务
possession|n. [C] 为另一国所控制的一个国家或一片土地，如殖民地、托管地、属地等，是一种正式用法
power|n. 1 [U] 对一国或一地的政治统治，即政权
power|n. [C] 在国际事务中有很大影响力或有很强军事实力的国家，即强国
powerhouse|n. [C] 强大的集团或组织机构，通常指强国
precinct|n. [C] [美] 城镇中划分出来举行选举的一片区域
premier|n. 1 [C] 首相，总理，尤用于报刊等媒体
presidency|n. [usually sing.] 国家的总统的职位（或任期等）
president|n. [C] 共和政体的总统或国家主席（也可用President）
primary|n. [C] 也可用primary election，在美国可指某一地区举行的初选（该初选会选出候选人以参加将来的一场重要选举）
propose|vt. ~ sth / ~ sb (for/as sth) 在正式会议上提名某人并让人们就其表决
protest|n. [U, C] ~ (against sth) 抗议、抗议书、抗议行动；强烈的反对
province|n. 1 [C] 某些国家由上至下的第一级行政区划（每个区都有自己的地方政府），可称为省，省份
public|adj. 1 只用于名词前。提供给公众使用的（尤指由政府提供），如公共的、公立的，与private相反
public|adj. 只用于名词前。与社会上的普通人有关的，即大众的、公众的
qualify|vt.&vi. ~ (sb) (for sth)（使）有权做某事
queen|n. 1 [C]（在一个拥有王室的独立国家中）一个女性统治者，即女王
race|n. 1 [C, U] 种族；人种
racial|adj. 1 只用于名词前，发生于（或存在于）不同种族的人们之间的，即种族的、种族间的
