guest|vi. guest (on sth) 作为一名来访（或临时）表演者而参加一个电视或广播节目（或参加一场音乐会、一场比赛等），如做特邀嘉宾，做客串，做特约演员等
gym|n. [C] [非正式；正式为gymnasium] jungle gym在美式英语中可表示儿童攀爬架
hack|vi.（通常用go hacking）[尤英] 骑马消遣
ham|n. [C] [非正式] 常用作形容词，指表演糟糕的演员（尤指通过夸张情绪而演砸的演员）
hand|n. [C] 在纸牌游戏中，可指分给一个打牌者的一手牌
hand|n. [C] 纸牌游戏的一盘或一局
headline|vt.＆vi. 是演出的一个主要表演者
heart|n. 1 [pl., U] 统称纸牌游戏中的红桃牌
hero|n. [C] 书籍、戏剧、电影或故事等艺术形式中的男主人公，男主角
heroic|adj. 男主角的
heroine|n. [C]（故事、小说、电影等作品中的）女主角
hit|n. 1 [C] 非常受欢迎的人或事物，尤指娱乐业的事物
holiday|n. 1 [U] [英] [美式为vacation] 也可用复数holidays，亦为英式，指（工作或学校的）假期
honeymoon|n. 1 [usually sing.]（新婚夫妇的）蜜月
horror|n. [U] 恐怖作品（如恐怖电影等）
host|n. [C] 电视或广播节目的主持人（可单独主持，也可与嘉宾进行谈话）
host|vt. 主持（电视或广播节目、演出等）
hostess|n. 1 [C] 电视或广播节目的女主持人（可单独主持，也可与嘉宾进行谈话）
house|n. [C] 剧院的观众席
house|n. [C]（统称）某场演出的观众
ice|n. [sing.] 可供人们滑冰的滑冰场、溜冰场
inaugurate|vt. ~ sb (as sth) 为某人举行就职典礼
inauguration|n. [U, C] 就职；就职典礼
instalment|n. [C]（电视连续剧的）一集
interlude|n. [C] 戏剧、电影等活动的短时间的幕间休息
intermission|n. [C, U] [尤美] 戏剧、电影、音乐会、演出等活动的短时间的幕间休息、中间休息
interpret|vt. 按自己的感觉演奏音乐或表现角色等，如演绎
interpretation|n. [C, U] 一个人对戏剧角色等的演绎方式、表演方式
interpreter|n. [C] 对音乐（或戏剧中的一个角色）进行出色演绎的一个人
interval|n. [C] [英] [英美也用intermission]（戏剧、电影、音乐会、演出、比赛等的）进程中的短暂时间
introduce|vt. 主持（电视或广播节目）；（向听众或观众）介绍（演讲者或演员）
joint|n. [C] [非正式]（尤指价格低廉的）人们吃喝、跳舞等的一个地方
jubilee|n. [C]（尤指25周年或50周年的）周年纪念、周年庆典
king|n. [C] 国际象棋中的王
king|n. [C] 纸牌中的K
kite|n. [C] 风筝
knight|n. [C] 国际象棋中的马
layoff|n. [C]（劳累或受伤的人）休养、疗养
lead|n. [C]（戏剧、电影、演出等活动中的）主角；扮演主角的演员
