abduct|vt.（尤指用武力）非法劫持、绑架某人，也可指诱拐
job|n. [C] 罪行，尤指偷窃罪，为非正式用法
judge|n. [C] 法官。是此义的常规用词，最为常用（还可指广义上的“仲裁员”，此时与referee有明显交集）
judge|vt. 在法庭上做出审判
judge|vt. 在法庭上做出裁决。需要注意的是，该词一般只强调“裁决”或“判决”、“宣判”环节，而并不表示整个审理过程
jump|vt.＆vi. [非正式] jump (on) sb突然袭击某人
jurisdiction|n. 1 [U, C] [正式] ~ (over sb/sth) / ~ (of sb/sth) (to do sth)（官方组织所具有的）司法权；审判权；管辖权
juror|n. [C] 陪审团成员，陪审员
just|adj. 常作前置定语，大多数人在道德上认为…是公平的、合理的、正义的，相当于fair
justice|n. 1 [C] [美] 法官，也用作称谓
justice|n. 1 [U] 对人的公平或公正对待，即公平，公正
justice|n. [U] 用于惩治罪犯的法律制度，即司法、审判
kidnap|n. [U, C] 绑架罪
kidnap|vt. 绑架、劫持某人（以让对方缴纳赎金来交换人质）
kosher|adj. [非正式] 诚实的；合法的
lash|vt.（用鞭子、绳子、棍子等）抽打一个人或动物
law|n. 1 [U] 一国或一个社会的整体的法律体系
lawbreaker|n. [C] 不守法者
lawful|adj. [正式] 为法律所承认或允许的，即合法的
lawsuit|n. [C] 诉讼、起诉
lawyer|n. [U] 律师，即拥有专业法律资质，向人们提供法律咨询，并在法庭上代表原告或被告的人
lead|n. [C]（可能会有助于找出关于某情况的事实或实情的）一则信息，尤指有关犯罪的线索，此时相当于clue
legal|adj. 只作前置定语，与法律相关的，即法律的
legal|adj. 被法律所允许或要求的，即合法的，法律所要求的
legality|n. [C, usually pl.]（某行为或情况的）法律方面
legality|n. [U] 合法；合法性
legislation|n. [U] 法律的制定和通过的过程，即立法
legislation|n. [U] 议会通过的一部（或一系列）法律、法规
legislature|n. [C] [正式] 立法机关
legitimate|adj. 1 合法的
licit|adj. [正式] 被准许的或合法的
life|n. [U] 无期徒刑，终身监禁
lift|vt. 1 [非正式] lift sth (from sb/sth) 偷盗、盗窃
litigate|vt.&vi. [法律] 提起诉讼、打官司
litigation|n. [U] [法律] 诉讼；打官司
litigator|n. [C] 帮助某人进行法律诉讼的一个律师，即诉讼律师
litigator|原指“庭审律师”（相当于trial lawyer，专门从事民事诉讼业务）。但“在现代美国，庭审前的披露程序（discovery）越来越无尽无休，litigator逐渐倾向于指从事民事诉讼业务但却从不上法庭的律师。因此现在litigator仅准备披露请求，而‘庭审律师’则由trial lawyer来表示”。（主要参照《元照英美法词典》）
loot|n. [U] [非正式] 被盗贼窃取的钱或物品，即赃物、被盗物
loot|vt.&vi.（战争、暴乱、火灾等发生时或发生后）劫掠商店或民宅
magistrate|n. [C] 最低等级的法院中（处理轻罪或纠纷的）的法官
majority|n. [U] 成年的法定年龄
make|vt. 制定（规则、法律等）
malefactor|n. [罕用；正式] 做错事的人；做道德上的坏事的人；违法的人
manor|n. [sing.] [英，俚语] 归某人负责的一片工作区，尤指警察的管辖区
marshal|n. [C] 一些美国城市的警察局长或消防局长
marshal|n. [C] 美国法院的执行官（负责法律的执行）
maul|vt.（动物）通过撕咬来袭击或伤害某人
minority|n. [U] 法律上可指处于未成年的一种状态
misappropriate|vt. [正式] 将别人的钱财或财产据为己有，通常此人因为信任你而将这些钱财或财产交托给你照管。可称为私吞、挪用
misconduct|n. [U] [正式] 不可接受的行为，尤指专业人士的失职、行为不端、处理不当
misdeed|n. [usually pl.] [正式] 恶行、不端行为
mob|n. [sing.] [非正式] the Mob可指犯罪团伙；黑手党
mobster|n. [C] 有组织犯罪（常为暴力犯罪）的一群人中的一员，可称为犯罪集团分子、黑社会成员
monster|n. [C] 非常残忍而邪恶的一个人
mortgage|vt.（根据按揭贷款协议向银行等机构）抵押（房产、土地等）
mug|vt.（尤指公开地）暴力抢劫、打劫（为抢取财物）
mule|n. [C] [俚语] 赚取佣金的非法越境运毒者
murderer|n. [C] 蓄意且非法杀害别人的一个人，即谋杀犯
nail|vt. [非正式] 抓住某人并证明其有罪（或证明其做了坏事）
nest|n. [sing.] 坏人藏匿或在其中活动的一个秘密地点，即窝点
neutral|adj. 1 在分歧、竞争等处境中不支持任何一方的，即中立的
neutrality|n. [U]（在协议、竞争或战争中的）中立状态（即不支持任何一方）
neutralize|vt. 使一个国家或地区中立
novel|n. [C] 一部新的法令；或一部现存法律的修正案
nuisance|n. [C, U] [法律] 某人对别人造成妨害的行为
offend|vi. [正式] 犯罪、犯法
offender|n. [C] 犯罪者、罪犯
officer|n. 1 [C] 常用作称谓，相当于police officer。既可表示“警官”（是“警官”的基础通用词），也可表示“警察”
one-sided|adj. [贬]（论点、观点等）片面的、偏颇的、不公正的
onslaught|n. [C] ~ (against/on sb/sth) / ~ (of sth) 猛烈或暴力的攻击
operative|adj. [名词前不常用]（法律等）生效的
ordinance|n. [C, U] [正式] 政府或当权者制定的法令或规则
outlaw|n. [C]（尤指在过去的年代）犯了法而躲避或逃跑的人；不受法律保护的人（即被剥夺法律权益者）
outlaw|vt. 使某事物或某事非法，宣布…不合法
p.c.|n. [C]（英式英语）Police Constable的缩写，表示级别最低的警务人员，即警察；警员
paddle|n. [C] [美] 用于惩罚儿童的一片有柄的木头，可以叫戒尺
paddle|vi. [美] 用一片木头打孩子来作为惩罚
panel|n. [C]（也可用jury panel）[panel和jury panel均尤美] 陪审团
party|n. [C] 法律上的“当事方”（如诉讼当事人、合同当事人等）。可以是一个人，也可以是一个组织。是表示此义的常规用词，也是一种正式用法，如
patent|n. [C, U] 专利权；专利证书
patrol|n. [C] 警察巡逻队、巡逻车队、巡逻船队
penalize|vt. ~ sb (for sth)（因犯错或犯罪而）处罚、惩罚、处以刑罚
penalty|n. [C] ~ (for sth)（对犯罪、违反罪责、违反合同、犯错等实施的）惩罚、处罚、刑罚
perjury|n. [U] [法律] 伪证罪
physical|adj. [非正式] 暴力的，粗暴的，是violent的一种委婉说法
pick|vt. 不用钥匙而打开锁头（如小偷用铁丝撬锁）
pilfer|vt.&vi. ~ (sth) (from sb/sth) 偷窃没什么价值的东西或很少的东西，即小偷小摸，尤指员工偷窃
pinch|vt. [旧时，英式，非正式] 逮捕某人
pinch|vt. [英，非正式] ~ sth (from sb/sth) 偷窃，尤指偷小且没什么价值的东西，如小偷小摸
pirate|n. 1 [C]（尤指旧时的）海盗
pirate|vt. 对某人的作品的非法复制或使用，如盗印、盗用
plagiarize|vt.&vi. [贬] 剽窃、抄袭别人的想法、观点、文字或作品
plaintiff|n. [C] [法律] 原告、起诉人
